filename,composer,type,tracks,4per_beat,first_key_sig,predicted_key_sig,first_time_n,first_time_d,first_time_32nd,time_clocks_per_click,first_note,first_note_time,has_note_off,has_key_change,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\air_2.mid,Bach,1,9,240,C,D,4,4,8,24,F#,0,True,False,8.0,32.0,40.0,10.0,46.0,0.0,32.0,46.0,0.0,48.0,4.0,34.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n1 op15 3mov_30.mid,Beethoven,1,14,240,C,D,2,4,8,24,C#,0,True,False,0.0,56.0,40.0,17.0,2.0,6.0,74.0,9.0,6.0,0.0,40.0,84.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\aria140_0.mid,Bach,1,5,240,C,A#,1,8,8,12,F,0,True,False,46.0,0.0,43.0,46.0,0.0,59.0,0.0,39.0,2.0,37.0,52.0,0.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 1mov_18.mid,Haydn,1,12,192,,C,3,4,8,24,C,0,True,False,134.0,0.0,68.0,0.0,71.0,59.0,8.0,69.0,8.0,33.0,0.0,53.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n1 op15 3mov_31.mid,Beethoven,1,14,240,C,C,2,4,8,24,B,0,True,False,131.0,0.0,101.0,0.0,66.0,18.0,14.0,195.0,0.0,33.0,0.0,92.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\aria140_1.mid,Bach,1,5,240,C,A#,4,4,8,24,D#,0,True,False,66.0,0.0,64.0,66.0,0.0,79.0,3.0,63.0,8.0,43.0,66.0,6.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 1mov_19.mid,Haydn,1,12,192,,D#,3,4,8,24,C,0,True,False,184.0,0.0,39.0,25.0,33.0,73.0,0.0,86.0,47.0,3.0,23.0,12.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n1 op15 3mov_32.mid,Beethoven,1,14,240,C,C,2,4,8,24,F,0,True,False,130.0,0.0,105.0,0.0,75.0,94.0,6.0,151.0,12.0,41.0,0.0,51.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\aria140_2.mid,Bach,1,5,240,C,A#,4,4,8,24,G,0,True,False,58.0,0.0,57.0,55.0,2.0,60.0,0.0,42.0,3.0,43.0,66.0,1.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n1 op15 3mov_33.mid,Beethoven,1,14,240,C,C,2,4,8,24,E,0,True,False,87.0,0.0,73.0,0.0,84.0,70.0,2.0,79.0,0.0,42.0,0.0,44.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 1mov_2.mid,Haydn,1,12,192,,C,3,4,8,24,F,0,True,False,190.0,8.0,159.0,0.0,155.0,52.0,25.0,237.0,10.0,51.0,0.0,78.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\aria140_3.mid,Bach,1,5,240,C,A#,4,4,8,24,D,0,True,False,70.0,6.0,73.0,63.0,5.0,50.0,15.0,75.0,23.0,41.0,61.0,12.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 1mov_20.mid,Haydn,1,12,192,,C,3,4,8,24,C,0,True,False,109.0,0.0,11.0,0.0,20.0,73.0,5.0,24.0,0.0,43.0,15.0,20.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\aria140_4.mid,Bach,1,5,240,C,A#,4,4,8,24,D#,0,True,False,58.0,1.0,49.0,49.0,1.0,39.0,9.0,55.0,22.0,33.0,58.0,1.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n1 op15 3mov_34.mid,Beethoven,1,14,240,C,C,2,4,8,24,E,0,True,False,90.0,0.0,61.0,0.0,82.0,28.0,2.0,46.0,16.0,31.0,0.0,29.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 1mov_21.mid,Haydn,1,12,192,,C,3,4,8,24,A,0,True,False,93.0,0.0,64.0,2.0,117.0,21.0,16.0,81.0,30.0,67.0,23.0,42.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\aria140_5.mid,Bach,1,5,240,C,A#,4,4,8,24,C,0,True,False,54.0,0.0,50.0,52.0,0.0,76.0,0.0,50.0,2.0,46.0,66.0,0.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n1 op15 3mov_35.mid,Beethoven,1,14,240,C,C,2,4,8,24,A,0,True,False,48.0,4.0,25.0,0.0,37.0,28.0,0.0,87.0,0.0,25.0,0.0,37.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\aria140_6.mid,Bach,1,5,240,C,A#,4,4,8,24,D,0,True,False,73.0,0.0,72.0,73.0,2.0,77.0,3.0,63.0,9.0,44.0,69.0,6.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 1mov_22.mid,Haydn,1,12,192,,C,3,4,8,24,E,0,True,False,62.0,0.0,17.0,4.0,161.0,6.0,7.0,16.0,38.0,36.0,0.0,37.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n1 op15 3mov_36.mid,Beethoven,1,14,240,C,C,2,4,8,24,D,0,True,False,72.0,3.0,82.0,1.0,32.0,16.0,1.0,107.0,1.0,3.0,1.0,32.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\aria140_7.mid,Bach,1,5,240,C,A#,4,4,8,24,D,0,True,False,22.0,0.0,22.0,23.0,0.0,23.0,0.0,15.0,1.0,16.0,27.0,0.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 1mov_23.mid,Haydn,1,12,192,,F,3,4,8,24,G,0,True,False,108.0,5.0,20.0,7.0,27.0,18.0,8.0,62.0,1.0,28.0,42.0,7.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n1 op15 3mov_37.mid,Beethoven,1,14,240,C,C,2,4,8,24,C,0,True,False,71.0,0.0,14.0,0.0,15.0,4.0,0.0,22.0,0.0,0.0,0.0,4.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\ausliebe_0.mid,Bach,1,5,384,C,C,1,4,8,96,A,0,True,False,34.0,4.0,25.0,7.0,38.0,19.0,5.0,11.0,15.0,49.0,1.0,34.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 1mov_24.mid,Haydn,1,12,192,,C,3,4,8,24,C,0,True,False,68.0,0.0,48.0,1.0,46.0,33.0,3.0,105.0,0.0,13.0,0.0,27.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n1 op15 3mov_4.mid,Beethoven,1,14,240,C,G,2,4,8,24,D,0,True,False,35.0,6.0,97.0,2.0,25.0,1.0,33.0,51.0,0.0,45.0,0.0,37.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\ausliebe_1.mid,Bach,1,5,384,C,C,3,4,8,96,D,0,True,False,36.0,7.0,33.0,8.0,39.0,35.0,7.0,21.0,14.0,37.0,3.0,42.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 1mov_25.mid,Haydn,1,12,192,,C,3,4,8,24,E,0,True,False,167.0,0.0,90.0,6.0,100.0,89.0,19.0,92.0,3.0,57.0,0.0,61.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\ausliebe_2.mid,Bach,1,5,384,C,F,3,4,8,96,E,0,True,False,37.0,6.0,31.0,12.0,35.0,45.0,10.0,42.0,4.0,44.0,27.0,10.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n1 op15 3mov_5.mid,Beethoven,1,14,240,C,D#,2,4,8,24,G,0,True,False,13.0,2.0,34.0,25.0,3.0,24.0,8.0,51.0,19.0,6.0,35.0,7.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 1mov_26.mid,Haydn,1,12,192,,C,3,4,8,24,C,0,True,False,134.0,0.0,66.0,0.0,70.0,59.0,10.0,86.0,8.0,36.0,0.0,64.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\ausliebe_3.mid,Bach,1,5,384,C,C,3,4,8,96,E,0,True,False,29.0,11.0,41.0,9.0,56.0,24.0,7.0,5.0,18.0,46.0,3.0,31.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n1 op15 3mov_6.mid,Beethoven,1,14,240,C,C,2,4,8,24,A#,0,True,False,20.0,1.0,54.0,8.0,11.0,9.0,6.0,42.0,1.0,23.0,9.0,16.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 1mov_27.mid,Haydn,1,12,192,,C,3,4,8,24,C,0,True,False,22.0,0.0,25.0,0.0,19.0,13.0,0.0,27.0,1.0,1.0,0.0,11.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\ausliebe_4.mid,Bach,1,5,384,C,C,3,4,8,96,B,0,True,False,20.0,4.0,16.0,7.0,25.0,13.0,5.0,8.0,13.0,32.0,1.0,25.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n1 op15 3mov_7.mid,Beethoven,1,14,240,C,G,2,4,8,24,B,0,True,False,21.0,11.0,55.0,2.0,17.0,1.0,21.0,47.0,1.0,19.0,1.0,30.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\AveMaria_0.mid,Bach,1,4,192,,F,4,4,8,24,F,0,True,False,54.0,0.0,30.0,4.0,25.0,70.0,4.0,49.0,0.0,43.0,19.0,9.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n1 op15 3mov_8.mid,Beethoven,1,14,240,C,C,2,4,8,24,G,0,True,False,25.0,8.0,18.0,12.0,0.0,33.0,0.0,80.0,44.0,24.0,26.0,23.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 1mov_3.mid,Haydn,1,12,192,,D,3,4,8,24,D,0,True,False,27.0,20.0,98.0,0.0,5.0,0.0,29.0,55.0,0.0,28.0,0.0,32.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\AveMaria_1.mid,Bach,1,4,192,,F,4,4,8,24,G,0,True,False,49.0,5.0,29.0,4.0,27.0,66.0,0.0,46.0,9.0,33.0,48.0,5.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n1 op15 3mov_9.mid,Beethoven,1,14,240,C,C,2,4,8,24,C,0,True,False,25.0,0.0,54.0,0.0,12.0,43.0,5.0,67.0,1.0,9.0,0.0,43.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 1mov_4.mid,Haydn,1,12,192,,G,3,4,8,24,D,0,True,False,77.0,17.0,100.0,9.0,52.0,3.0,69.0,112.0,2.0,86.0,6.0,90.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n2 op19 1mov_0.mid,Beethoven,1,11,120,Bb,A#,4,4,8,24,A#,0,True,False,43.0,1.0,60.0,26.0,1.0,90.0,0.0,8.0,0.0,30.0,78.0,2.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\bach_846_0.mid,Bach,1,7,480,C,C,4,4,8,24,C,0.0016891895833333333,True,False,46.0,4.0,46.0,0.0,34.0,22.0,8.0,46.0,2.0,30.0,2.0,16.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 1mov_5.mid,Haydn,1,12,192,,G,3,4,8,24,B,0,True,False,62.0,18.0,91.0,0.0,58.0,9.0,33.0,235.0,0.0,51.0,7.0,73.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n2 op19 1mov_1.mid,Beethoven,1,11,120,Bb,A#,4,4,8,24,A#,0,True,False,81.0,24.0,71.0,28.0,20.0,101.0,4.0,31.0,22.0,34.0,67.0,5.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\bach_846_1.mid,Bach,1,7,480,C,C,4,4,8,24,F,0,True,False,54.0,0.0,20.0,6.0,27.0,36.0,6.0,64.0,2.0,16.0,8.0,20.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 1mov_6.mid,Haydn,1,12,192,,C,3,4,8,24,D,0,True,False,140.0,0.0,21.0,0.0,33.0,16.0,0.0,48.0,0.0,14.0,4.0,17.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n2 op19 1mov_10.mid,Beethoven,1,11,120,Bb,F,4,4,8,24,F,0,True,False,50.0,21.0,51.0,15.0,54.0,96.0,8.0,52.0,12.0,61.0,37.0,24.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\bach_846_2.mid,Bach,1,7,480,C,C,4,4,8,24,E,0,True,False,63.0,1.0,57.0,0.0,48.0,33.0,15.0,40.0,11.0,57.0,2.0,51.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 1mov_7.mid,Haydn,1,12,192,,C,3,4,8,24,D,0,True,False,198.0,0.0,142.0,0.0,155.0,54.0,23.0,217.0,10.0,50.0,0.0,70.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n2 op19 1mov_11.mid,Beethoven,1,11,120,Bb,C,4,4,8,24,A#,0,True,False,48.0,7.0,27.0,0.0,27.0,84.0,0.0,2.0,16.0,31.0,13.0,19.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\bach_846_3.mid,Bach,1,7,480,C,C,4,4,8,24,A,0,True,False,46.0,6.0,61.0,0.0,59.0,42.0,12.0,67.0,1.0,60.0,11.0,32.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 1mov_8.mid,Haydn,1,12,192,,D,3,4,8,24,G,0,True,False,26.0,28.0,112.0,0.0,7.0,0.0,29.0,78.0,0.0,27.0,0.0,42.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\bach_846_4.mid,Bach,1,7,480,C,F#,4,4,8,24,,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 1mov_9.mid,Haydn,1,12,192,,G,3,4,8,24,D,0,True,False,68.0,17.0,95.0,9.0,52.0,3.0,66.0,101.0,2.0,74.0,6.0,74.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n2 op19 1mov_13.mid,Beethoven,1,11,120,Bb,F,4,4,8,24,E,0,True,False,66.0,5.0,27.0,6.0,19.0,53.0,12.0,36.0,2.0,46.0,37.0,4.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\bach_847_0.mid,Bach,1,6,480,Eb,D#,4,4,8,24,C,0.0020408166666666663,True,False,58.0,0.0,60.0,66.0,22.0,86.0,14.0,90.0,56.0,22.0,34.0,4.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 3mov_0.mid,Haydn,1,12,192,,C,3,4,8,24,C,0,True,False,120.0,0.0,64.0,0.0,55.0,27.0,18.0,73.0,6.0,54.0,0.0,40.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n2 op19 1mov_14.mid,Beethoven,1,11,120,Bb,D#,4,4,8,24,D,0,True,False,16.0,3.0,76.0,61.0,5.0,37.0,16.0,57.0,25.0,17.0,43.0,2.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\bach_847_1.mid,Bach,1,6,480,Eb,C,4,4,8,24,D,0,True,False,101.0,0.0,68.0,87.0,6.0,45.0,10.0,41.0,15.0,19.0,1.0,55.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 3mov_1.mid,Haydn,1,12,192,,G,3,4,8,24,B,0,True,False,65.0,0.0,66.0,11.0,43.0,14.0,18.0,71.0,3.0,26.0,1.0,39.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n2 op19 1mov_15.mid,Beethoven,1,11,120,Bb,D#,4,4,8,24,G#,0,True,False,50.0,1.0,67.0,103.0,0.0,61.0,1.0,119.0,16.0,5.0,46.0,47.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\bach_847_2.mid,Bach,1,6,480,Eb,D#,4,4,8,24,D#,0,True,False,57.0,1.0,45.0,33.0,13.0,54.0,6.0,54.0,27.0,10.0,19.0,24.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 3mov_10.mid,Haydn,1,12,192,,C,3,4,8,24,G,0,True,False,70.0,1.0,24.0,0.0,30.0,28.0,3.0,44.0,5.0,35.0,0.0,23.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n2 op19 1mov_16.mid,Beethoven,1,11,120,Bb,F,4,4,8,24,D,0,True,False,23.0,112.0,10.0,7.0,63.0,79.0,10.0,66.0,2.0,14.0,150.0,8.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\bach_847_3.mid,Bach,1,6,480,Eb,D#,4,4,8,24,D#,0,True,False,62.0,2.0,57.0,56.0,10.0,59.0,10.0,65.0,36.0,23.0,40.0,22.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 3mov_11.mid,Haydn,1,12,192,,G,3,4,8,24,E,0,True,False,51.0,0.0,56.0,14.0,33.0,7.0,20.0,55.0,6.0,15.0,3.0,30.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n2 op19 1mov_17.mid,Beethoven,1,11,120,Bb,A#,4,4,8,24,F,0,True,False,92.0,26.0,43.0,59.0,13.0,140.0,6.0,9.0,2.0,73.0,85.0,0.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\bach_847_4.mid,Bach,1,6,480,Eb,D#,4,4,8,24,C,0,True,False,22.0,0.0,14.0,11.0,2.0,15.0,0.0,14.0,9.0,1.0,0.0,13.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 3mov_12.mid,Haydn,1,12,192,,D#,3,4,8,24,F#,0,True,False,16.0,0.0,22.0,50.0,2.0,26.0,2.0,41.0,26.0,0.0,43.0,1.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n2 op19 1mov_18.mid,Beethoven,1,11,120,Bb,A#,4,4,8,24,C,0,True,False,73.0,1.0,63.0,49.0,2.0,129.0,0.0,13.0,0.0,64.0,83.0,5.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\bach_850_0.mid,Bach,1,7,480,D,D,4,4,8,24,D,0,True,False,10.0,29.0,44.0,11.0,41.0,3.0,54.0,24.0,17.0,44.0,1.0,41.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 3mov_13.mid,Haydn,1,12,192,,C,3,4,8,24,C,0,True,False,88.0,4.0,35.0,15.0,50.0,40.0,8.0,58.0,20.0,37.0,10.0,21.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\bach_850_1.mid,Bach,1,7,480,D,D,4,4,8,24,B,0,True,False,12.0,28.0,50.0,0.0,47.0,16.0,32.0,47.0,9.0,45.0,8.0,43.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 3mov_14.mid,Haydn,1,12,192,,C,3,4,8,24,A#,0,True,False,60.0,0.0,28.0,0.0,39.0,21.0,0.0,33.0,3.0,9.0,3.0,4.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\bach_850_2.mid,Bach,1,7,480,D,D,4,4,8,24,A,0,True,False,7.0,39.0,65.0,0.0,55.0,5.0,56.0,42.0,15.0,60.0,3.0,54.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 3mov_2.mid,Haydn,1,12,192,,D#,3,4,8,24,D#,0,True,False,17.0,0.0,21.0,45.0,2.0,23.0,4.0,39.0,23.0,0.0,40.0,2.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Beethoven\Piano Concerto n2 op19 1mov_2.mid,Beethoven,1,11,120,Bb,G#,4,4,8,24,C,0,True,False,217.0,41.0,2.0,19.0,22.0,55.0,9.0,21.0,31.0,0.0,16.0,4.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Haydn\Symphony n90 3mov_3.mid,Haydn,1,12,192,,C,3,4,8,24,C,0,True,False,78.0,4.0,32.0,23.0,38.0,39.0,8.0,58.0,26.0,37.0,15.0,21.0
C:\Users\livb1\Desktop\Yolane\2020Spring\Capstone\music-classification-deep-generation\lstm\midi\Bach\bach_850_3.mid,Bach,1,7,480,D,D,4,4,8,24,F#,0,True,False,12.0,48.0,67.0,3.0,65.0,0.0,60.0,71.0,0.0,65.0,0.0,57.0
